"ID","lon","lat","depth","study","BIO","MAT","RAD","MAP","DRY","PET","PH","CEC","BLD","ORC","CLY","SLT","SND","AWC","CWC","NPP"
"1711.KFM2.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM2.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM2.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM3.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM3.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM3.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM4.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM4.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM4.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM5.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM5.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM5.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM6.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM6.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM6.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM7.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM7.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM7.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM8.1",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM8.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM8.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM9.2",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1711.KFM9.3",35.52,0.15,0.1,"EMP",1,13.9575815200806,17348.5,1126.24865722656,5.90467937608319,3.15546708590712,5.3,26,1036,52.5,37.5,26,36,57.99668520384,0.271937360594197,867.2
"1713.McG.L1M210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L2B210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L3M210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L2K210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L3B210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L2M210",114.017,4.1865,0.06,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.6,17.5,828.5,145.5,28.5,28.5,43,62.5607655234149,0.292363745440422,992.3
"1713.McG.L2B02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L3K02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
"1713.McG.L1B02",114.017,4.1865,0.01,"EMP",1,26.8474178314209,16817.25,2989.61572265625,3.95320910973085,5.3471760922974,4.65,20.5,763,140,29,29.5,41.5,63.8091538964183,0.298592321562053,992.3
