ID,D_2,D_1,D0,D1,D2,R1,R2,R3,A1,A2,A3,lon,lat,depth,study,BIO,MAT,RAD,MAP,DRY,PET,PH,CEC,BLD,ORC,CLY,SLT,SND,AWC,CWC,NPP
10360.YUN1005.1.1,1040.65669518551,478.594999398699,125.8,24.0090871836883,9.61891404796738,52.97,100.34,121.37,72.83,25.46,4.43,-69.9665,-24.0923,0.02,EMP,13,16.6769161224365,21610.9166666667,0.0569230727851391,13880,4.65669913348354,8.6,18.5,1293,13,13.5,21.5,64.5,49.265721033298,2.72607498122816e-115,260.8
10360.BAQ3473.1,2991.32667453956,2063.48105835045,990.3,259.948727029037,70.3864661368946,426.36,722.27,919.25,563.94,268.03,71.05,-67.94507,-22.91237,0.02,EMP,10,9.18808364868164,21155.4166666667,30.4333362579346,191.319444444444,2.89850685573116,7.95,10.5,1281.5,10,13,19.5,67,49.3238084312512,0.0260305958567834,85.1
10360.BAQ3473.2,3000.74138478854,2101.62845189349,1088.42,378.511381066961,147.964162615737,433.6,756.41,1009.82,654.82,332.01,78.6,-67.94507,-22.91237,0.02,EMP,10,9.18808364868164,21155.4166666667,30.4333362579346,191.319444444444,2.89850685573116,7.95,10.5,1281.5,10,13,19.5,67,49.3238084312512,0.0260305958567834,85.1
10360.BAQ3473.3,2493.64188742602,1589.08555190752,654.58,159.392142834537,53.6143366947425,272.24,467.06,598.57,382.34,187.52,56.01,-67.94507,-22.91237,0.02,EMP,10,9.18808364868164,21155.4166666667,30.4333362579346,191.319444444444,2.89850685573116,7.95,10.5,1281.5,10,13,19.5,67,49.3238084312512,0.0260305958567834,85.1
10360.YUN2029.2,1333.29363989461,653.094696973457,169.68,32.3214752799299,15.2748718507139,54.59,121.08,162.37,115.09,48.6,7.31,-70.31483,-24.59866,0.02,EMP,13,13.0029172897339,21729.4166666667,0.688974320888519,6939.5,3.81051442636074,8.5,14,1304,7.5,10.5,19,71,48.3811002635657,8.1328649966907e-49,279.5
10360.BAQ4166.1.3,2766.12872710389,1829.31324848985,781.55,178.036426304142,65.2661795212464,284.16,521.09,712.6,497.39,260.46,68.95,-67.86743,-22.92925,0.02,EMP,10,6.13541603088379,20805.5833333333,44.6976928710938,129.132075471698,2.17432305540846,7.5,10,1261,14.5,16.5,25,59,50.443496330979,0.0828528852099088,92.7
10360.YUN1242.1,807.769766875733,316.724625838145,55.74,12.7499624267587,7.51722449114162,16.88,38.96,51.77,38.86,16.78,3.97,-70.31242,-24.14112,0.02,EMP,13,15.8291673660278,21801.3333333333,0.0658974349498749,13880,4.4826173771692,8.6,21,1348,15,18.5,24.5,57.5,48.06673192032,8.88338519135742e-114,293.1
10360.YUN1005.3,680.917804692897,249.540634030713,58.35,18.4920008766962,9.91607230102204,10.64,38.19,51.89,47.71,20.16,6.46,-69.9665,-24.0923,0.02,EMP,13,16.6769161224365,21610.9166666667,0.0569230727851391,13880,4.65669913348354,8.6,18.5,1293,13,13.5,21.5,64.5,49.265721033298,2.72607498122816e-115,260.8
10360.YUN3259.1.3,1428.46020793126,798.953891744662,337.53,112.985172732884,41.493405466494,137.74,253.13,312.91,199.79,84.4,24.62,-68.53413,-24.17038,0.02,EMP,10,8.32408332824707,21281.8333333333,13.9174365997314,373.945945945946,2.70975145055441,8.05,12,1254.5,11.5,9.5,20.5,70,49.9956859192039,0.00433977545233746,54.4
10360.YUN3533.1.1,2876.72227248415,1958.30154893329,891.65,140.529930353502,18.1180455693727,498.18,710.01,834.9,393.47,181.64,56.75,-68.36079,-24.37951,0.02,EMP,10,9.04816627502441,21200.8333333333,21.5623073577881,199.797101449275,2.87482634534381,8.2,11,1222,18.5,14,26,60,51.5929058121417,0.0278331918670435,55.6
10360.YUN3533.1.2,3023.2360783162,2130.85751034111,1110.81,357.598023889909,114.34583377539,441.87,778.64,1020.8,668.94,332.17,90.01,-68.36079,-24.37951,0.02,EMP,10,9.04816627502441,21200.8333333333,21.5623073577881,199.797101449275,2.87482634534381,8.2,11,1222,18.5,14,26,60,51.5929058121417,0.0278331918670435,55.6
10360.YUN3533.1.3,2632.35409286819,1738.3923778386,779.92,191.26318627905,55.4384547341828,292.22,540.85,708.92,487.7,239.07,71,-68.36079,-24.37951,0.02,EMP,10,9.04816627502441,21200.8333333333,21.5623073577881,199.797101449275,2.87482634534381,8.2,11,1222,18.5,14,26,60,51.5929058121417,0.0278331918670435,55.6
10360.YUN3259.2,2877.43968507841,1998.37069500256,1036.65,396.89857151054,182.438017476287,484.01,794.16,976.13,552.64,242.49,60.52,-68.53413,-24.17038,0.02,EMP,10,8.32408332824707,21281.8333333333,13.9174365997314,373.945945945946,2.70975145055441,8.05,12,1254.5,11.5,9.5,20.5,70,49.9956859192039,0.00433977545233746,54.4
10360.YUN3259.3,2634.97592390012,1742.42822167094,786.52,160.452870191746,27.8221457464529,337.82,601.07,739.26,448.7,185.45,47.26,-68.53413,-24.17038,0.02,EMP,10,8.32408332824707,21281.8333333333,13.9174365997314,373.945945945946,2.70975145055441,8.05,12,1254.5,11.5,9.5,20.5,70,49.9956859192039,0.00433977545233746,54.4
10360.YUN3856.3,2566.37244948946,1689.20258321368,794.12,274.869864466973,119.616537292127,273.21,539.91,726.74,520.91,254.21,67.38,-68.29649,-24.44621,0.02,EMP,10,5.92933416366577,21044.0833333333,31.707691192627,151,2.15692248888045,7.8,17,1164,21.5,16,29,55,53.3861193191543,0.0787941657217835,53.9
10360.YUN3856.2,2619.56690030458,1729.35471309334,801.68,263.204274584116,114.245228864409,288.25,542.58,728.54,513.43,259.1,73.14,-68.29649,-24.44621,0.02,EMP,10,5.92933416366577,21044.0833333333,31.707691192627,151,2.15692248888045,7.8,17,1164,21.5,16,29,55,53.3861193191543,0.0787941657217835,53.9
10360.YUN1242.3,1116.84228071871,518.572836015704,123.93,24.4251692006996,12.4200784187182,52.85,97.55,116.72,71.08,26.38,7.21,-70.31242,-24.14112,0.02,EMP,13,15.8291673660278,21801.3333333333,0.0658974349498749,13880,4.4826173771692,8.6,21,1348,15,18.5,24.5,57.5,48.06673192032,8.88338519135742e-114,293.1
10360.BAQ2838.1,2094.11974674908,1337.33915020082,665.34,278.1069528501,138.386677595246,308.2,498.49,628.16,357.14,166.85,37.18,-68.57623,-22.65381,0.02,EMP,13,11.216667175293,21678.5,14.6051273345947,477.379310344828,3.42507755432853,8.7,21,1322,10.5,18,23,59.5,48.5632087571561,0.000288967745064987,69.5
