sample_name	experiment_accession
1642.MS00172	ERX1661848
1642.MS00175	ERX1661851
1642.MS00174	ERX1661850
1642.MS00177	ERX1661853
1642.MS00176	ERX1661852
1642.MS00179	ERX1661855
1642.MS00178	ERX1661854
1642.MS00072	ERX1661748
1642.MS00154	ERX1661830
1642.MS00074	ERX1661750
1642.MS00075	ERX1661751
1642.MS00076	ERX1661752
1642.MS00077	ERX1661753
1642.MS00590	ERX1662266
1642.MS00209	ERX1661885
1642.MS00208	ERX1661884
1642.MS00207	ERX1661883
1642.MS00206	ERX1661882
1642.MS00205	ERX1661881
1642.MS00204	ERX1661880
1642.MS00203	ERX1661879
1642.MS00202	ERX1661878
1642.MS00201	ERX1661877
1642.MS00200	ERX1661876
1642.MS00199	ERX1661875
1642.MS00198	ERX1661874
1642.MS00197	ERX1661873
1642.MS00196	ERX1661872
1642.MS00195	ERX1661871
1642.MS00194	ERX1661870
1642.MS00193	ERX1661869
1642.MS00192	ERX1661868
1642.MS00191	ERX1661867
1642.MS00190	ERX1661866
1642.MS00019	ERX1661695
1642.MS00294	ERX1661970
1642.MS00295	ERX1661971
1642.MS00296	ERX1661972
1642.MS00297	ERX1661973
1642.MS00290	ERX1661966
1642.MS00291	ERX1661967
1642.MS00292	ERX1661968
1642.MS00293	ERX1661969
1642.MS00298	ERX1661974
1642.MS00299	ERX1661975
1642.MS00259	ERX1661935
1642.MS00073	ERX1661749
1642.5BLANK	ERX1661675
1642.MS00556	ERX1662232
1642.MS00636	ERX1662312
1642.MS00637	ERX1662313
1642.MS00634	ERX1662310
1642.MS00635	ERX1662311
1642.MS00632	ERX1662308
1642.MS00633	ERX1662309
1642.MS00630	ERX1662306
1642.MS00631	ERX1662307
1642.MS00638	ERX1662314
1642.MS00639	ERX1662315
1642.MS00027	ERX1661703
1642.MS00026	ERX1661702
1642.MS00025	ERX1661701
1642.MS00024	ERX1661700
1642.MS00023	ERX1661699
1642.MS00022	ERX1661698
1642.MS00388	ERX1662064
1642.MS00389	ERX1662065
1642.MS00386	ERX1662062
1642.MS00387	ERX1662063
1642.MS00384	ERX1662060
1642.MS00385	ERX1662061
1642.MS00382	ERX1662058
1642.MS00383	ERX1662059
1642.MS00380	ERX1662056
1642.MS00381	ERX1662057
1642.MS00138	ERX1661814
1642.MS00339	ERX1662015
1642.MS00338	ERX1662014
1642.MS00333	ERX1662009
1642.MS00332	ERX1662008
1642.MS00331	ERX1662007
1642.MS00330	ERX1662006
1642.MS00337	ERX1662013
1642.MS00336	ERX1662012
1642.MS00335	ERX1662011
1642.MS00334	ERX1662010
